_id,basic_element,recipe_title,calories,date_added,recipe_category,dif_rate,exec_time (min),special_d,_elements,exec,photo
11,Fruit,"Mixed leaf salad with mozzarella, mint, peach & prosciutto",412,14/5/2021,Salad,2,10,,"ripe peach|buffalo mozzarella|higher-welfare prosciutto|fresh mint|mixed salad leaves|extra virgin olive oil|lemon|dried red chilli , optional","If I make this for my lunch I’ll use one nice, ripe peach, half a ball of mozzarella and a couple of slices of prosciutto.|Pinch the skin of the peaches and peel from the bottom to the top, then quarter.|Rip the mozzarella into small pieces and place on a plate with the peaches. Lightly season with sea salt and black pepper.|Lay a couple of slices of prosciutto over the top.|Tear up the mint leaves, toss with the mixed salad leaves and dress with a little of the extra virgin olive oil & lemon juice dressing.|Throw the leaves on top. Simple!",
12,Potato,"Smoked trout, horseradish & new potato salad",449,14/5/2021,Salad,2,20,,"800 g new potatoes|4 tablespoons crème fraîche , or soured cream|2 lemons|extra virgin olive oil|4 heaped tablespoons fresh horseradish , or jarred horseradish|1 bunch of fresh flat-leaf parsley , (30g)|½ a bunch of fresh chives|1 small bunch of spring onions|300 g hot-smoked trout , from sustainable sources","Scrub the potatoes and cook them in boiling salted water until tender, then drain.|While still warm, but cool enough to handle, either cut the potatoes in half or squash them into a large salad bowl.|Add the crème fraîche, the zest and juice of 1 lemon and 4 tablespoons of oil. Toss around, then season to taste with sea salt and black pepper.|Add or finely grate in the horseradish, tasting as you go, then finely chop the parsley and chives and throw these into the bowl.|Trim, finely slice and add the spring onions, tear in the smoked trout, and mix together.|Now it’s very important to balance your salad with more seasoning and maybe an extra squeeze of lemon juice. You may even want to give it more of a kick by adding some extra horseradish. Personally, I love to add a lot of horseradish and make it really hot.|Great served as a starter, salad or even dinner if you love it as much as I do.",
13,Squash,Harissa squash salad,361,14/5/2021,Salad,2,60,,"1 butternut squash , (1.2kg)|1 heaped tablespoon rose harissa|2 ripe avocados|100 g mixed salad leaves|1 x 125 g ball of mozzarella cheese","Preheat the oven to 180ºC/350ºF/gas 4.|Carefully cut the squash into rough 5cm chunks (seeds and all). Then, in a roasting tray, rub all over with the harissa, 1 tablespoon of olive oil and a pinch of sea salt and black pepper.|Roast for 50 minutes, or until soft, golden and gnarly.
With a few minutes to go, place 1 tablespoon each of extra virgin olive oil and red wine vinegar, and a little salt and pepper, in a large bowl.|Halve, peel, destone, slice and toss in the avocados, then gently mix in the salad leaves.|Use forks to divide and tear the hot squash (skin, seeds and all) between your plates. Divide up the salad on top and tear over the mozzarella, then serve.",
14,Salmon,Sorta salmon niçoise,398,14/5/2021,Salad,2,18,,"2 x 120 g salmon fillets , skin on, scaled, pin-boned, from sustainable sources|300 g green beans|2 large free-range eggs|8 black olives , (stone in)|2 heaped tablespoons Greek yoghurt","Place the salmon skin side down in a colander over a pan of boiling salted water, covered, to steam for 8 minutes.|Line up the beans, trim off just the stalk end, then boil in the water under the salmon for 6 minutes, or until just cooked but not squeaky. Gently lower in the eggs to cook for exactly 5½ minutes, alongside.|Meanwhile, squash the olives and remove the stones, then finely chop the flesh. Mix half of the olives through the yoghurt with a splash of red wine vinegar, taste and season to perfection with sea salt and black pepper.|Remove the salmon to a board, then drain the eggs and beans in the colander.|Toss the beans in the dressing and divide between your plates. Refresh the eggs under cold water until cool enough to handle, then peel and cut into quarters.|Flake over the salmon, discarding the skin, arrange the eggs on top and dot over the remaining chopped olives.|Finish with 1 teaspoon of extra virgin olive oil and a good pinch of pepper, from a height.",
15,Beans,Italian spring bean salad,328,14/5/2021,Salad,2,60,Vegeterian,"1 stick of celery , (60g)|½ a carrot , (60g)|120 g radicchio|10 g fresh basil|1½ x 400 g tin of beans , such as borlotti or kidney|1 tablespoon chopped onion|130 ml extra virgin olive oil|80 ml white wine vinegar|75 g Parmesan rinds , (about 3)|100 g stale bread","Trim the celery, peel and trim the carrot, then cut, along with the radicchio, into 5mm cubes. Pick and finely chop the basil leaves.|Drain and rinse the beans and place in a bowl (save the remainder for another dish) with the radicchio, celery, carrot, onion and basil. Stir in the olive oil and vinegar, then season and leave to rest for 2 hours at room temperature.|Meanwhile, place the Parmesan rinds in a pot with 1.5 litres of cold water and cook slowly over a low–medium for 1 hour. Remove from the heat and leave the rinds in the water to cool.|Preheat the oven to 200ºC/400ºF/gas 6.|Cut the bread into 1cm cubes, scatter over a baking tray and toast in the oven until golden, about 20 minutes, tossing halfway through.|Divide the bean mixture between plates, then add a few tablespoons of the cooled parmesan broth. Garnish with croutons and the Parmesan rinds, finely sliced with a speed-peeler, if you like.",
16,Fruit,Frozen fruit & almond crumble,252,14/5/2021,Desert,2,45,Vegeterian,"1 kg mixed frozen berries and cherries|100 g sugar , (I used a mixture of golden caster, soft brown and demerara)|½ an orange|50 g unsalted butter , (cold)|100 g plain flour|100 g flaked almonds","Preheat the oven to 200°C/400°F/gas 6|Tip the frozen berries into a saucepan with half the sugar and place on a medium heat.|Squeeze in the juice of half an orange and cook for 5 to 8 minutes, or until the sugar has dissolved and the fruit has softened. Remove from the heat and leave to cool a little.|Meanwhile, cube the butter and place in a mixing bowl with the flour. Rub together with your fingertips until it resembles breadcrumbs, then stir in the almonds and remaining sugar.|Transfer the berry mixture to a 25cm x 30cm baking dish and sprinkle over the crumble topping.|Bake in the oven for 25 to 30 minutes, or until golden and crunchy. Delicious served with vanilla ice cream.",
17,Chocolate,Chocolate & banana French toast,518,14/5/2021,Desert,2,15,Vegeterian,"2 bananas|2 large free-range eggs|½ a teaspoon vanilla extract|1 pinch of ground cinnamon|2 slices of white bread|25 g blanched hazelnuts|a small knob of unsalted butter , or olive oil|40 g dark chocolate , (minimum 70% solids)|2 teaspoons icing sugar|2 tablespoons Greek-style yoghurt , to serve","Peel and slice the banana in half lengthways and set aside. Crack the eggs into a shallow bowl, add the vanilla and cinnamon then whisk together with a fork.|Soak the bread slices in the egg mixture for a couple of minutes, turning halfway.|Place a large dry frying pan on a medium heat and toast the hazelnuts until golden, then tip into a pestle and mortar and bash until fine.|Return the pan to the heat with the butter (or 1 teaspoon of oil). Once hot, carefully place one egg-soaked slice into the pan and break over the chocolate. Place the remaining slice on top and sandwich together.|Add the banana slices to the pan and cook, without moving, for 2 minutes, until lightly golden.
Use a spatula to carefully flip the bread and banana slices and cook for a further 2 minutes, until light golden on both sides.|Lightly dust the top of the sandwich with the icing sugar and flip back over for a few seconds to caramelise.|Carefully slide the sandwich onto a board (the caramel will be very hot!), cut in half diagonally, then transfer to a plate.|To serve, place half a sandwich on each plate, top with 2 pieces of caramelised banana and a dollop of yoghurt, and finish with a good dusting of crushed hazelnuts.",
18,Chocolate,Chocolate tart,436,14/5/2021,Desert,2,120,,"300 ml double cream|2 level tablespoons caster sugar|400 g quality dark chocolate , (70%)|90 g unsalted butter , at room temperature|100 ml milk|1 tart shell , baked blind|quality cocoa powder , for dusting","Place the double cream, sugar and a tiny pinch of sea salt in a pan and bring to the boil.|Break up the chocolate.|As soon as the mixture has boiled, remove from the heat and add the butter and chocolate. Stir until it has completely melted. Allow the mixture to cool slightly, stirring in the cold milk until smooth and shiny.|Sometimes this mixture looks like it has split. Allow to cool down a bit more and whisk in a little extra cold milk until smooth.|Scrape all the mixture into the cooked and cooled pastry shell with a spatula.|Shake the tart to even it out and allow to cool for around 1 to 2 hours until it is at room temperature. Dust with the cocoa powder.|Ultimately the pastry should be short and crisp and the filling should be smooth and should cut like butter.",
19,Chocolate,Chocolate brownie,438,14/5/2021,Desert,2,50,,250 g quality dark chocolate (70%)|250 g unsalted butter|4 large free-range eggs|250 g golden caster sugar|2 heaped tablespoons self-raising flour|2 heaped tablespoons quality cocoa powder,"Preheat the oven to 180ºC/350ºF/gas 4.|Tear off a large piece of greaseproof paper, scrunch it up under cold water, then unfold and use it to line a 20cm square baking tin.|Snap the chocolate into a heatproof bowl, dice the butter and add with a pinch of sea salt. Melt over a pan of gently simmering water, stirring regularly, then remove from the heat and leave to cool slightly.|Crack the eggs into a large bowl, then add the sugar and whisk until light, pale and fluffy.|Sieve in the flour, followed by the cocoa. Whisk to combine, then fold through the melted chocolate.|Spoon the mixture into the lined tin and spread it out evenly. Bake for 25 to 30 minutes, or until crisp on the outside but slightly wobbly.|Leave to cool in the tin for 15 minutes before slicing and serving warm – delicious with vanilla ice cream, crushed hazelnuts and caramel popcorn.",
20,Cranberry,Frozen cranberry cranachan,435,14/5/2021,Desert,2,60,Vegeterian,"300 g pack of frozen cranberries|150 g frozen raspberries|4 tablespoons caster sugar|6 tablespoons Drambuie|OATMEAL CRUNCH|coconut oil , or olive oil, for greasing|75 g medium oats|125 g caster sugar|FROZEN CREAM|4 medium free-range egg yolks , (at room temperature)|2 tablespoons caster sugar|100 g clear wildflower honey|600 ml double cream|3 tablespoons Drambuie","Place the cranberries, raspberries, sugar and 3 tablespoons of the Drambuie in a saucepan. Bring to a simmer and cook for 10 minutes, or until the cranberries are very soft and breaking up. Leave to cool, then stir in the rest of the Drambuie to loosen.|Lightly grease a baking sheet and a large loaf tin, then line the tin with clingfilm, leaving excess hanging over the sides.|Toast the oats in a dry, non-stick pan for 5 minutes, or until golden, stirring often. Tip them onto a plate and leave to cool.|Wipe the pan clean, add the caster sugar and very gently melt over a low heat, without stirring, for about 5 minutes, until molten. Once most of the sugar is liquid, gently swirl the pan to mix it into a smooth, golden caramel.|Stir in the toasted oats, coating them in the caramel, then tip onto the baking tray and spread them out evenly. Leave to cool completely, then crush into small pieces, using a pestle and mortar or a food processor. You can make this a day or two ahead – just store in an airtight tin in a cool place until needed.|For the cream, add the egg yolks to a large bowl and whisk in the sugar with an electric whisk, until very thick and creamy, for about 5 minutes.|Bring the honey to the boil in a small pan over a medium heat, let it cool for 1 minute, then pour into the yolk mixture in a steady stream, whisking constantly. Very softly whip the cream and Drambuie together in a large bowl, then fold this into the egg mixture, followed by half of the crunchy oatmeal.|Spoon a couple of tablespoons of the fruit compote into the base of the loaf tin, top with a third of the cream, then repeat the layers until you have used all the cream and fruit. Run the handle of a teaspoon through the mixture to ripple the fruit a little. Leave in the freezer overnight.|Remove from the freezer 10 to 15 minutes before serving, to allow it to soften slightly, then cut into slices and serve with the rest of the crunchy oats scattered on top.",
21,Pineapple,Sage Honey Pineapple Blended Cocktail,280,5/15/2021,Cocktail,3,35,,"1/2 cup honey, 1/2 cup water, 5 sprigs fresh sage, 4 cups frozen pineapple , 2 ounces lime juice , 1 1/2 cups ice","    Special Equipment: KitchenAid® K400 blender.
    Make the sage honey syrup: Add 1/2 cup honey and ½ cup water into a saucepan along with 5 springs of fresh sage. Heat on medium high heat until mixture comes to a bubble, then reduce to medium and allow to simmer for 15 minutes. Turn off heat and allow to cool for 30 minutes then discard the sage.
    Make the cocktail: Place the frozen pineapple, vodka, lime juice and 1/4 cup prepared honey syrup into the KitchenAid® K400 blender. Blend on smoothie setting and allow to run through cycle. Serve immediately and garnish with a toasted sage leaf.
    Chef’s Notes: No frozen pineapple? Simply skin and core a fresh pineapple. Then, slice the pineapple meat into long strips, and cut the strips into small cubes. Place the cubes on a sheet tray in a single layer and freeze until solid (about 30-45 minutes).",
22,Chicken ,Broiled Paprika and Lemon-Pepper Chicken Breasts,220,5/15/2021,Lunch,2,20,," 2 ½ tablespoons extra-virgin olive oil, divided, 2 skinless, boneless chicken breast halves
2 tablespoons paprika
1 tablespoon lemon-pepper seasoning
1 tablespoon kosher salt
2 cloves garlic, smashed and finely chopped
½ medium onion, chopped ","Set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Grease a broiler pan with 1/2 tablespoon olive oil.
Rinse chicken breasts and pat dry. Brush with remaining olive oil until coated. Sprinkle each piece evenly on both sides with paprika, lemon-pepper, and salt. Place on the prepared broiler pan, sprinkle garlic over top, and sprinkle onions around the base of the chicken, with several smaller pieces on top.
Cook under the preheated broiler for 5 minutes. Flip and continue to cook, checking often, until no longer pink in the center and the juices run clear, 5 to 10 more minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).",
23,Raspberry ,Baked raspberry cheesecake,623,5/16/2021,Desert,3,60,,"digestive biscuits 8
butter 50g, meltedcream cheese 600g
plain flour 2 tbsp
golden caster sugar 175g
vanilla extract
eggs 2, plus 1 yolk
soured cream 150ml potraspberries 300g punnet
icing sugar","Heat the oven to 180C/fan 160C/gas 4. Crush the biscuits in a food processor (or put in a plastic bag and bash with a rolling pin). Mix with the butter. Press into a 20cm spring-form tin and bake for 5 minutes, then cool.
Beat the cream cheese with the flour, sugar, a few drops of vanilla, eggs, the yolk and soured cream until light and fluffy. Stir in half the raspberries and pour into the tin. Bake for 40 minutes and then check, it should be set but slightly wobbly in the centre. Leave in the tin to cool. Keep a few raspberries for the top and put the rest in a pan with 1 tbsp icing sugar. Heat until juicy and then squash with a fork. Push through a sieve. Serve the cheesecake with the raspberry sauce and raspberries.",
